Study,Phase_Group,Inhibitor_System,Technique,Medium_Type,Molarity_M,Dose_Value,Dose_Unit,Concentration_ppm,Temp_C,Time_h,CR_mm_yr,IE_percent
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.5,150.0,ppm,150.0,70.0,6.0,476.1,7.3
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.5,250.0,ppm,250.0,70.0,6.0,455.3,11.3
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.5,350.0,ppm,350.0,70.0,6.0,450.2,12.3
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.5,450.0,ppm,450.0,70.0,6.0,398.4,22.4
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,1.5,0.0,ppm,0.0,70.0,6.0,513.4,
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,0.5,50.0,ppm,50.0,,3.0,40.3,26.3
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,0.5,150.0,ppm,150.0,,3.0,32.2,41.0
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,0.5,250.0,ppm,250.0,,3.0,22.0,59.8
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,0.5,350.0,ppm,350.0,,3.0,5.2,90.4
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,0.5,450.0,ppm,450.0,,3.0,2.4,95.6
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,0.5,0.0,ppm,0.0,,3.0,54.6,
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,0.5,50.0,ppm,50.0,,6.0,15.7,32.7
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,0.5,150.0,ppm,150.0,,6.0,14.4,38.3
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,0.5,250.0,ppm,250.0,,6.0,10.0,57.0
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,0.5,350.0,ppm,350.0,,6.0,4.0,82.7
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,0.5,450.0,ppm,450.0,,6.0,2.1,90.8
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,0.5,0.0,ppm,0.0,,6.0,23.3,
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,0.5,50.0,ppm,50.0,,9.0,15.5,29.1
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,0.5,150.0,ppm,150.0,,9.0,14.4,34.1
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,0.5,250.0,ppm,250.0,,9.0,11.2,49.0
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,0.5,350.0,ppm,350.0,,9.0,4.6,79.1
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,0.5,450.0,ppm,450.0,,9.0,4.9,77.8
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,0.5,0.0,ppm,0.0,,9.0,21.9,
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,0.5,50.0,ppm,50.0,,12.0,11.5,27.2
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,0.5,150.0,ppm,150.0,,12.0,9.9,37.2
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,0.5,250.0,ppm,250.0,,12.0,9.5,40.0
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,0.5,350.0,ppm,350.0,,12.0,4.7,70.0
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,0.5,450.0,ppm,450.0,,12.0,3.8,76.2
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,0.5,0.0,ppm,0.0,,12.0,15.8,
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,0.5,50.0,ppm,50.0,,15.0,11.7,29.8
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,0.5,150.0,ppm,150.0,,15.0,10.1,39.0
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,0.5,250.0,ppm,250.0,,15.0,10.1,39.0
P2-Time,P2,Single Green Inhibitor,Weight loss,Acid,0.5,350.0,ppm,350.0,,15.0,4.5,73.0
